case_id,latency_ms,http_status
LONG_30.T01,68,200
LONG_30.T02,16675,200
LONG_30.T03,19952,200
LONG_30.T04,18948,200
LONG_30.T05,15643,200
LONG_30.T06,26977,200
LONG_30.T07,19231,200
LONG_30.T08,11165,200
LONG_30.T09,975,200
LONG_30.T10,981,200
LONG_30.T11,18380,200
LONG_30.T12,10674,200
LONG_30.T13,27403,200
LONG_30.T14,17832,200
LONG_30.T15,1012,200
LONG_30.T16,12515,200
LONG_30.T17,14512,200
LONG_30.T18,14978,200
LONG_30.T19,3713,200
LONG_30.T20,18151,200
LONG_30.T21,4228,200
LONG_30.T22,1721,200
LONG_30.T23,4683,200
LONG_30.T24,28596,200
LONG_30.T25,74,200
LONG_30.T26,17368,200
LONG_30.T27,12557,200
LONG_30.T28,11757,200
LONG_30.T29,23190,200
LONG_30.T30,9836,200
G01.T01,16431,200
G01.T02,18582,200
G01.T03,21518,200
G01.T04,18762,200
G01.T05,10168,200
G01.T06,19094,200
G02.T01,24590,200
G02.T02,18486,200
G02.T03,18608,200
G02.T04,18865,200
G02.T05,23074,200
G02.T06,21139,200
G03.T01,18231,200
G03.T02,22636,200
G03.T03,16468,200
G03.T04,16537,200
G03.T05,15547,200
G04.T01,13000,200
G04.T02,9214,200
G04.T03,14401,200
G04.T04,12147,200
G04.T05,12484,200
G04.T06,14829,200
G05.T01,10402,200
G05.T02,8871,200
G05.T03,10579,200
G05.T04,9096,200
G05.T05,16226,200
G05.T06,9370,200
G05.T07,15829,200
G05.T08,10691,200
G06.T01,18357,200
G06.T02,10981,200
G06.T03,4918,200
G06.T04,11396,200
G06.T05,16440,200
G07.T01,12565,200
G07.T02,5356,200
G07.T03,12388,200
G07.T04,4385,200
G07.T05,15953,200
G07.T06,4744,200
G08.T01,9649,200
G08.T02,12314,200
G08.T03,13512,200
G08.T04,4180,200
G08.T05,11607,200
G08.T06,9311,200
G09.T01,3426,200
G09.T02,4598,200
G09.T03,4500,200
G09.T04,23074,200
G09.T05,20155,200
G10.T01,22919,200
G10.T02,27420,200
G10.T03,28065,200
G10.T04,28194,200
G10.T05,23599,200
G10.T06,21529,200
G10.T07,14648,200
G10.T08,12751,200
G11.T01,16011,200
G11.T02,20543,200
G11.T03,28856,200
G11.T04,4844,200
G11.T05,12048,200
G11.T06,4815,200
G12.T01,37210,200
G12.T02,26655,200
G12.T03,5233,200
G12.T04,18906,200
G12.T05,1242,200
G13.T01,12527,200
G13.T02,93,200
G13.T03,3692,200
G13.T04,4384,200
G13.T05,4224,200
G13.T06,4742,200
G14.T01,15939,200
G14.T02,17261,200
G14.T03,13605,200
G14.T04,18885,200
G14.T05,19667,200
G14.T06,17990,200
G15.T01,15198,200
G15.T02,19932,200
G15.T03,14023,200
G15.T04,16141,200
G15.T05,5132,200
G15.T06,1915,200
G15.T07,5525,200
G15.T08,20625,200
G16.T01,15591,200
G16.T02,25063,200
G16.T03,101,200
G16.T04,23019,200
G16.T05,11318,200
G16.T06,1326,200
G17.T01,16353,200
G17.T02,7332,200
G17.T03,94,200
G17.T04,33623,200
G17.T05,33100,200
G17.T06,5132,200
G18.T01,33663,200
G18.T02,5509,200
G18.T03,18236,200
G18.T04,15857,200
G18.T05,4365,200
G19.T01,5603,200
G19.T02,4261,200
G19.T03,35119,200
G19.T04,22335,200
G19.T05,29989,200
G19.T06,5211,200
G20.T01,20529,200
G20.T02,9523,200
G20.T03,4889,200
G20.T04,3720,200
G20.T05,4232,200
G20.T06,13161,200
G20.T07,10408,200
G20.T08,18310,200
G21.T01,3877,200
G21.T02,3811,200
G21.T03,4091,200
G21.T04,4149,200
G21.T05,3739,200
G22.T01,10895,200
G22.T02,71,200
G22.T03,6526,200
G22.T04,6184,200
G22.T05,13669,200
G22.T06,5160,200
G23.T01,75,200
G23.T02,4439,200
G23.T03,101,200
G23.T04,6644,200
G23.T05,4735,200
G23.T06,71,200
G24.T01,4247,200
G24.T02,3600,200
G24.T03,4026,200
G24.T04,3367,200
G24.T05,4660,200
G25.T01,6229,200
G25.T02,5013,200
G25.T03,5577,200
G25.T04,4546,200
G25.T05,19658,200
G25.T06,5724,200
G25.T07,1123,200
G25.T08,866,200
G26.T01,6974,200
G26.T02,6150,200
G26.T03,5245,200
G26.T04,4909,200
G26.T05,6439,200
G26.T06,3882,200
G27.T01,79,200
G27.T02,27650,200
G27.T03,24205,200
G27.T04,10833,200
G27.T05,11530,200
G28.T01,11784,200
G28.T02,6497,200
G28.T03,5176,200
G28.T04,14926,200
G28.T05,15441,200
G28.T06,11688,200
